SAY_NAME;Введите ваше имя.
SAY_SURNAME;Введите вашу фамилию.
EXCEPTION_NOT_ADMIN;Вы не являетесь администратором.
PERSON_EXISTS?;В базе данных есть человек с данным именем и фамилией? Введите [да/нет].
PERSON_WARNING;Если вы ошибётесь и скажете 'нет', когда нужно было сказать 'да', то дальнейшая корректная работа программы не гарантирована, т.к. будет создан лишний человек, которого необходимо будет удалять из базы данных.
SAY_YES;да
SAY_NO;нет
SAY_ADDRESS;Введите ваш адрес. Введите [-], если не хотите сообщать адрес (ваши возможности могут быть ограничены).
SAY_PASSPORT;Введите номер вашего паспорта. Введите [-], если не хотите сообщать номер паспорта (ваши возможности могут быть ограничены).
EXCEPTION_NOT_YES_OR_NO;Вы ввели не [да/нет].
VIEW_PERSON_DATA;Вот ваши данные:
VIEW_NEW_PERSON_DATA;Вот ваши новые данные:
SAY_BANK_NAME;Введите название банка, клиентом которого вы являетесь/хотите стать.
VIEW_BANK_DATA;Вот ваш выбранный банк:
VIEW_BANK_LIST;Вот список всех банков:
SAY_ABOUT_BANK;Вы уже являетесь клиентом данного банка? Введите [да/нет].
BANK_WARNING;Если вы ошибётесь и скажете 'нет', когда нужно было сказать 'да', то дальнейшая корректная работа программы не гарантирована, т.к. будет создан лишний клиент, которого необходимо будет удалять из базы данных.
BANK_LIST;Хотите увидеть список всех банков? Введите [да], если хотите.
VIEW_CLIENT_DATA;Вот данные вашего клиентского аккаунта:
VIEW_ACCOUNT_DATA;Вот данные вашего клиентского счёта:
NEW_CLIENT_SUCCESSFULLY;Вы стали клиентом этого банка.
BANK_FIRST_CLIENT;У вас нет ни одного счёта в данном банке. Необходимо создать хотя бы один.
SUCCESSFUL_AUTHORIZATION;Авторизация пройдена успешно.
HELP;Подсказка по возможным действиям:
HELP_0;Введите [0], если хотите увидеть подсказку по возможным действиям. Также вы можете ввести другие числа, для выполнения каких-либо действий из подсказки.
HELP_1;Введите [1], если хотите завершить работу программы.
HELP_2;Введите [2], если хотите поменять ваш адрес/номер паспорта.
HELP_3;Введите [3], если хотите узнать ваши текущие человеческие данные.
HELP_4;Введите [4], если хотите узнать ваш текущий банк.
HELP_5;Введите [5], если хотите узнать ваши текущие клиентские данные.
HELP_6;Введите [6], если хотите узнать ваши данные текущего счёта.
HELP_7;Введите [7], если хотите увидеть данные обо всех счетах вашего текущего клиента.
HELP_8;Введите [8], если хотите установить текущий счёт по его номеру.
HELP_9;Введите [9], если хотите создать новый счёт.
HELP_10;Введите [10], если хотите снять деньги с вашего счёта (в банкомате).
HELP_11;Введите [11], если хотите положить деньги на ваш счёт (в банкомате).
HELP_12;Введите [12], если хотите перевести деньги по номеру счёта.
HELP_13;Введите [13], если хотите закрыть ваш текущий счёт.
HELP_14;Введите [14], если хотите узнать тип и статус вашего текущего счёта.
HELP_15;Введите [15], если хотите узнать количество денег на балансе счёта на конкретную дату.
SAY_ACCOUNT_NUMBER;Введите номер вашего счёта, который хотите выбрать. Информацию обо всех ваших клиентских счетах можно посмотреть с помощью одной из команд из подсказки.
ACCOUNT_CLOSED_SUCCESSFUL;Ваш счёт был успешно закрыт.
SAY_ACCOUNT_NUMBER_TO;Введите номер счёта, на который вы хотите перевести деньги.
SAY_CASH_BALANCE;Введите сумму, которую вы хотите снять с вашего счёта.
SAY_SUPPLEMENT_BALANCE;Введите сумму, которую вы хотите положить на ваш счёт.
SAY_TRANSFER_BALANCE;Введите сумму, которую вы хотите перевести.
SAY_NEW_ACCOUNT_NUMBER;Введите номер счёта. Может быть ошибка, если номер с таким счётом уже существует.
SAY_ACCOUNT_TYPE;Введите название типа счёта. На выбор предлагаются [credit/debit/deposit].
ACCOUNT_TYPE;Тип вашего текущего счёта:
ACCOUNT_CLOSED;Данный счёт уже был закрыт
ACCOUNT_OPENED;Ваш текущий счёт открыт.
EQUALS; равен:
BALANCE_ON_DATE;Баланс на дату:
SAY_DATE_OF_ACCOUNT;Введите дату в формате dd.MM.yyyy (в стандартных условиях), на которую хотите узнать баланс текущего счёта.
EXCEPTION_ADMIN_ACCOUNT;Это счёт админа с бесконечными деньгами, которые взялись из воздуха. Для него невозможно рассчитать баланс на дату.
EXCEPTION_ACCOUNT_BALANCE_IN_FUTURE;Невозможно узнать о балансе счёта в будущем.
EXCEPTION_NO_ACCOUNT_AT_DATE;На эту дату счёт ещё не был создан.
PERCENT_ADDED;Проценты успешно начислены.
EXCEPTION_PERCENT_AT_DATE;Невозможно рассчитать проценты на дату, которая не совпадает с Current_date. Вы - админ, вы можете поменять Current_date.
EXCEPTION_ACCOUNT_BALANCE_NOT_NULL;Нельзя закрыть счёт с ненулевым балансом. Баланс счёта:
EXCEPTION_BAD_BANK_OF_TARIFF;Вы пытаетесь сохранить тариф какого-то другого банка (id которого отличается от выбранного).
EXCEPTION_PERSON_ALREADY_CLIENT;Вы пытаетесь сделать человека клиентом банка, клиентом которого он уже является. Клиентский id этого человека в этом банке:
EXCEPTION_ACCOUNT_TYPE;Вы ввели некорректный тип счёта.
EXCEPTION_CLOSING_ACCOUNT_CLIENT;Вы не можете закрыть счёт, который привязан к другому клиенту.
